Title,Price,Price_Origin,Link,Image,Retailer,TimeStamp,Source,Delta
"BeautyWill Harem Pants for Women, Cotton Loose High Waist Soft Athletic Elastic Waistband Yoga Pilates Pants",28.98,0,https://www.amazon.ca/dp/B08BZB7139/,https://m.media-amazon.com/images/I/51k9y10y70S._AC_UL320_.jpg,Amazon,2021-10-31T16:21:02,https://www.amazon.ca/s?k=lightning+deals,-28.98
"Harem Pants for Women, Cotton Loose High Waist Soft Athletic Elastic Waistband Yoga Pilates Pants",28.98,0,https://www.amazon.ca/dp/B08BZB7139/,https://m.media-amazon.com/images/I/51k9y10y70S._AC_UL320_.jpg,Amazon,2021-10-31T16:21:02,https://www.amazon.ca/s?k=lightning+deals,-28.98
"Kodak Ultra Mini Portable Projector 75 Lumens - HD LED DLP Rechargeable Projector 100” Display, Built-in Speaker - HDMI, USB and Micro SD - Compatible with iOS and Android Devices",258.99,0,https://www.amazon.ca/dp/B078NCG82N/,https://m.media-amazon.com/images/I/81fUfR087+L._AC_UL320_.jpg,Amazon,2021-10-31T16:21:02,https://www.amazon.ca/s?k=lightning+deals,-258.99
Zentrex Women's Racerback Sports Bra High Impact Support for Yoga Workout Gym Activewear Bra,25.99,0,https://www.amazon.ca/dp/B09BQPLPG9/,https://m.media-amazon.com/images/I/61Vu+PxZ4nS._AC_UL320_.jpg,Amazon,2021-10-31T16:21:02,https://www.amazon.ca/s?k=lightning+deals,-25.99
"Men’s Crew T-Shirts, Multipack",25.99,0,https://www.amazon.ca/dp/B07JDFPQTC/,https://m.media-amazon.com/images/I/61CqBpL3iUL._AC_UL320_.jpg,Amazon,2021-10-31T16:21:02,https://www.amazon.ca/s?k=lightning+deals,-25.99
Womens 4 Pack Tank Tops Sleeveless Tops Shirt Slim Fit Ribbed Knit Racerback Blouses,25.99,0,https://www.amazon.ca/dp/B092S18XHP/,https://m.media-amazon.com/images/I/71CGObWaDiL._AC_UY218_.jpg,Amazon,2021-10-31T16:21:02,https://www.amazon.ca/s?k=lightning+deals,-25.99
"Apple Gift Card - App Store, iTunes, iPhone, iPad, AirPods, MacBook, accessories and more (Email Delivery)",25.00,0,https://www.amazon.ca/dp/B093GZFS5Q/,https://m.media-amazon.com/images/I/41SNPx9tOFS._AC_UL320_.jpg,Amazon,2021-10-31T16:21:02,https://www.amazon.ca/s?k=lightning+deals,-25.0
"Apple Gift Card - App Store, iTunes, iPhone, iPad, AirPods, MacBook, accessories and more (Email Delivery)",25.00,0,https://www.amazon.ca/dp/B093GZFS5Q/,https://m.media-amazon.com/images/I/41SNPx9tOFS._AC_UL320_.jpg,Amazon,2021-10-31T16:21:02,https://www.amazon.ca/s?k=lightning+deals,-25.0
Bluetooth Wireless Speakers Waterproof IPX5 with HD Enhanced Bass Outdoor Wireless Portable Phone Speakers Built-in Mic Support FM AUX TF Card USB for iPhone iPad Android Phones Computer Etc. (Blue),23.99,0,https://www.amazon.ca/dp/B078YMPPDV/,https://m.media-amazon.com/images/I/71-qR6q5-GS._AC_UL320_.jpg,Amazon,2021-10-31T16:21:02,https://www.amazon.ca/s?k=lightning+deals,-23.99
"[Apple MFi Certified] Lightning to HDMI Adapter, Compatible with iPhone to HDMI Adapter Cable, 4K 1080P Lightning to Digital AV HDMI adapter with Charging Port for iPhone, iPad, iPod on HD TV/Monitor/Projector-White",23.99,0,https://www.amazon.ca/dp/B09DK7728Q/,https://m.media-amazon.com/images/I/41GKxzhGm2S._AC_UL320_.jpg,Amazon,2021-10-31T16:21:02,https://www.amazon.ca/s?k=lightning+deals,-23.99
"HDMI Adapter for Phone to TV,1080P Digital AV Adapter Compatible with Phone, Sync Screen Connector Directly Connect on TV/Monitor/Projector ect NO Need Power Supply (Grey)",23.99,0,https://www.amazon.ca/dp/B08QHDYP64/,https://m.media-amazon.com/images/I/51DmA7LM3pL._AC_UL320_.jpg,Amazon,2021-10-31T16:21:02,https://www.amazon.ca/s?k=lightning+deals,-23.99
"USB C Charger, INIU [2 Pack] 25W PD 3.0 Fast Charging Mini Wall Charger, Universal Power Adapter Plug Compatible with iPhone 12 11 Pro XR X 8 Samsung S21 S20 Note 20 iPad Airpods Google LG Switch etc.",23.98,0,https://www.amazon.ca/dp/B0965929WQ/,https://m.media-amazon.com/images/I/51QinalHfPS._AC_UL320_.jpg,Amazon,2021-10-31T16:21:02,https://www.amazon.ca/s?k=lightning+deals,-23.98
"USB C Charger, INIU [2 Pack] 25W PD 3.0 Fast Charging Mini Wall Charger, Universal Power Adapter Plug Compatible with iPhone 12 11 Pro XR X 8 Samsung S21 S20 Note 20 iPad Airpods Google LG Switch etc.",23.98,0,https://www.amazon.ca/dp/B0965929WQ/,https://m.media-amazon.com/images/I/51QinalHfPS._AC_UL320_.jpg,Amazon,2021-10-31T16:21:02,https://www.amazon.ca/s?k=lightning+deals,-23.98
